original,updated/copied,status,notes,grammar_issue_flag
,,,,
"Our Defense labs also give to American economic growth by  spurring   the creation of new industries, companies, and jobs across the country,  guaranteeing that America leads the way in cutting-edge science and  technology.","Our Defense labs also give to American economic growth by spurring  the creation of new industries, companies, and jobs across the country, guaranteeing that America leads the way in cutting-edge science and technology.",done,,
,,,,
"Instead of  distinguishing between winners and losers and sowing division where it  need not exist, we must acknowledge our shared goals and principles with  our allies around the world, because our commitment to democracy and  diplomacy is what has always made our Nation great.","Instead of distinguishing between winners and losers and sowing division where it need not exist, we must acknowledge our shared goals and principles with our allies around the world, because our commitment to democracy and diplomacy is what has always made our Nation great.",done,,
,,,,
They spoke very loudly  when the other side of the aisle forced this on America in the last  Congress.,They spoke very loudly when the other side of the aisle forced this on America in the last Congress.,done,,
,,,,
"If you want to propose something for the victims,  you contribute them an opportunity to testify on the record--and they all  opposed the bill to a one.","If you want to propose something for the victims, you contribute them an opportunity to testify on the record--and they all opposed the bill to a one.",review,"correct grammar would be you ""contribute to them""",1
,,,,
"Mr. Speaker, yesterday, President Obama indicated that the United  States--along with our P5+1 negotiating partners--had reached a deal  with Iran--a deal that if fully implemented, will prevent Iran from  obtaining a nuclear weapon.","Mr. Speaker, yesterday, President Obama indicated that the United States, along with our P5+1 negotiating partners, had reached a deal with Iran. A deal that if fully implemented, will prevent Iran from obtaining a nuclear weapon.",done,,
,,,,
"I don't think nor do I think many of us believe that  Washington should be mired in mediocrity, nor should we be divided by  class or income, but I do think we have to acknowledge several  difficult truths.","I don't think, nor do I think many of us believe, that Washington should be mired in mediocrity, nor should we be divided by class or income, but I do think we have to acknowledge several difficult truths.",done,,
,,,,
"Our enemies continue to test us because they no longer terror us, Mr.  Speaker.","Our enemies continue to test us because they no longer terror us, Mr. Speaker.",done,,
,,,,
"This  amendment now is a placeholder, hopefully, for our discussion going  forward dealing with the preservation of our museums.","This amendment now is a placeholder, hopefully, for our discussion going forward dealing with the preservation of our museums.",done,,
,,,,
"We, in Congress, need to work hard to make sure that Pell Grants  increase and that Pell Grants go to students at not-for-profit schools  and those for-profit schools that graduate students and get them  gainful employment.","We, in Congress, need to work hard to make sure that Pell Grants increase and that Pell Grants go to students at not-for-profit schools and those for-profit schools that graduate students and get them gainful employment.",done,,
,,,,
"In fact, reduced mercury       explained none of the purported future reduction in deaths,       heart attacks and asthma, and less than 0.01% of the financial       benefits.","In fact, reduced mercury explained none of the purported future reduction in deaths, heart attacks, and asthma, and less than 0.01% of the financial benefits.",done,,
,,,,
"I find  it very, very upsetting that this vote will, of course, be  overwhelmingly in support of correcting the civil liberties of Syria  and making Iran toe the line and contribute up on something that they're  permitted to do.","I find it very, very upsetting that this vote will, of course, be overwhelmingly in support of correcting the civil liberties of Syria and making Iran toe the line and contribute up on something that they're permitted to do.",review,contribute up on something doesn't really make sense,1
,,,,
"I find  it very, very upsetting that this vote will, of course, be  overwhelmingly in support of correcting the civil liberties of Syria  and making Iran toe the line and give up on something that they're  permitted to do.","I find it very, very upsetting that this vote will, of course, be overwhelmingly in support of correcting the civil liberties of Syria and making Iran toe the line and give up on something that they're permitted to do.",done,,
,,,,
"That is very simply without all of the  rationalization, without all of the gotchas and the what-ifs and the  avoiding of the subject, and if we just ask ourselves one fundamental  question: Does abortion kill a little baby?","That is very simply without all of the rationalization, without all of the ""gotchas"" and the ""what-ifs"", and the avoiding of the subject, and if we just ask ourselves one fundamental question: Does abortion kill a little baby?",done,,
,,,,
"When I spoke, I spoke about the minority's right for a motion to  recommit, which indeed we do have; but in this particular instance, it  is the minority's right to offer up the previous question, and that is  what we are proceeding under.","When I spoke, I spoke about the minority's right for a motion to recommit, which indeed we do have, but in this particular instance, it is the minority's right to offer up the previous question, and that is what we are proceeding under.",done,,
,,,,
"No one, including Megan Kanka's parents or any of the other  neighbors, knew that their neighbor across the street had been  convicted twice and jailed for child sexual attack.","No one, including Megan Kanka's parents or any of the other neighbors, knew that their neighbor across the street had been convicted twice and jailed for child sexual attack.",done,,
,,,,
He turned his wealth--or his financial reward into great wealth.,He turned his wealth--or his financial reward--into great wealth.,done,,
,,,,
Many survivors are unable to maintain even a modest and  dignified standard of living: they lack funds for home care; they don't  have the money for medicine; they don't have the funds for food; they  can't pay the utilities; and they can't pay their rent.,"Many survivors are unable to maintain even a modest and dignified standard of living: they lack funds for home care, they don't have the money for medicine, they don't have the funds for food, they can't pay the utilities, and they can't pay their rent.",done,,
,,,,
"But a cyber assault could  bring down our power grid, could bring down our stock market, our  financial institutions, our energy sector.","But a cyber assault could bring down our power grid, could bring down our stock market, our financial institutions, our energy sector.",done,,
,,,,
"We mandated that not-for-gain hospitals create a community health  needs assessment every 3 years, and we created a Community Preventive  Services Task Force.","We mandated that not-for-gain hospitals create a community health needs assessment every 3 years, and we created a Community Preventive Services Task Force.",review,not-for-gain,
,,,,
"Secondly, it creates the potential preconditions for when there  is a security settlement in the Middle East that will allow these  ancient faith traditions to reintegrate back into their homeland and  continue to contribute to the once-rich tapestry that made up the  Middle East.","Secondly, it creates the potential preconditions for when there is a security settlement in the Middle East that will allow these ancient faith traditions to reintegrate back into their homeland and continue to contribute to the once-rich tapestry that made up the Middle East.",done,,
,,,,
We can either choose to stand by the  commonsense reforms that restored America's faith in elections after  the Watergate scandal or we can choose to cede the control of political  campaigns entirely to wealthy corporations and interest groups.,We can either choose to stand by the common sense reforms that restored America's faith in elections after the Watergate scandal or we can choose to cede the control of political campaigns entirely to wealthy corporations and interest groups.,done,,
,,,,
Simply throwing more money at this issue  without these changes is like giving the VA more money without  demanding better care for our veterans.,Simply throwing more money at this issue without these changes is like giving the VA more money without demanding better care for our veterans.,done,,
,,,,
I am happy to say  that language reported from the Energy and Commerce Committee reflects  several reforms sought by Democratic members of the committee.,I am happy to say that language reported from the Energy and Commerce Committee reflects several reforms sought by Democratic members of the committee.,done,,
,,,,
"In the evacuation process, he and his wounded leader  came under intense enemy assault.","In the evacuation process, he and his wounded leader came under intense enemy assault.",done,,
,,,,
"Under the Contraband Cigarette Trafficking Act, violators face  criminal penalties and fines.","Under the Contraband Cigarette Trafficking Act, violators face criminal penalties and fines.",done,,
,,,,
"While I will say over and over again that ObamaCare is wrong for the  American people--that it is wrong for hardworking Missourians and that  it is certainly wrong for the people of the Second District--and that  it needs to be replaced immediately before any more harmful provisions  are implemented, at the very least, what the government can do is  require that we report any security breaches on the ObamaCare Web site  to these innocent victims who, through no fault of their own, trusted a  government that has once again potentially deceived them.","While I will say over and over again that Obamacare is wrong for the American people--that it is wrong for hardworking Missourians and that it is certainly wrong for the people of the Second District and that it needs to be replaced immediately before any more harmful provisions are implemented--at the very least, what the government can do is require that we report any security breaches on the Obamacare Web site to these innocent victims who, through no fault of their own, trusted a government that has once again potentially deceived them.",done,,
,,,,
"My final point, if I can, we are glad to come to the floor and honor  Mr. Conyers for this important bill and support H.R. 372.","My final point, if I can, we are glad to come to the floor and honor Mr. Conyers for this important bill and support H.R. 372.",done,,
,,,,
"Placing the tax on the revenue side makes it  much more costly for small device makers to pay for it because many of  them have high revenue levels, but much smaller gain margins.","Placing the tax on the revenue side makes it much more costly for small device makers to pay for it because many of them have high revenue levels, but much smaller gain margins.",done,,
,,,,
"You convert to Islam, or you  have to abandon everything you know and get as far away from us as you  possibly can in the short term because we are coming after you in the  long term.","You convert to Islam, or you have to abandon everything you know and get as far away from us as you possibly can in the short term because we are coming after you in the long term.",done,,
,,,,
"Mr. Speaker, there has been a lot of discussion lately about the  opioid crisis, but we forget that it is linked to so many other  issues--mental health access, poverty, communicable disease,  joblessness, and the list goes on.","Mr. Speaker, there has been a lot of discussion lately about the opioid crisis, but we forget that it is linked to so many other issues--mental health access, poverty, communicable disease, joblessness, and the list goes on.",done,,
,,,,
"Again, I would like to thank the gentleman from Oklahoma, Chairman  Lucas, for his leadership and the gentleman from Florida, who just  spoke before, Congressman Steve Southerland, for their hard work on  this issue.","Again, I would like to thank the gentleman from Oklahoma, Chairman Lucas, for his leadership and the gentleman from Florida, who just spoke before, Congressman Steve Southerland, for their hard work on this issue.",done,,
,,,,
"And so with that act having  passed and controls put on outrageous speculation in the financial  services industry, we have seen economic growth.","And so with that act having passed and controls put on outrageous speculation in the financial services industry, we have seen economic growth.",done,,
,,,,
"So to summarize, we need prosperity over austerity in this country.","So to summarize, we need prosperity over austerity in this country.",done,,
,,,,
"For a region that is struggling to grow jobs and  keep jobs, the threat of businesses in my district moving across the  border isn't a theoretical policy discussion; it is a real threat.","For a region that is struggling to grow jobs and keep jobs, the threat of businesses in my district moving across the border isn't a theoretical policy discussion, it is a real threat.",done,,
,,,,
"Mr. Chairman, nothing is more important to the future of this Nation  than the success of our children, and right now Federal education law  isn't helping students profit the skills and knowledge they need.","Mr. Chairman, nothing is more important to the future of this Nation than the success of our children, and right now federal education law isn't helping students profit the skills and knowledge they need.",done,,
,,,,
Many  businesses of all types and sizes in our country use derivatives to  manage the risks they facewithin their daily operations.,Many businesses of all types and sizes in our country use derivatives to manage the risks they face within their daily operations.,done,,
,,,,
When the economy is weak--workers and  their families need more protection not less.,"When the economy is weak, workers and their families need more protection, not less.",done,,
,,,,
It is an example of the comprehensive disregard  bureaucrats have for the practical implications of the regulations they  issue.,It is an example of the comprehensive disregard bureaucrats have for the practical implications of the regulations they issue.,done,,
,,,,
Breastfeeding has proven to have numerous health       benefits for both mother and child.,Breastfeeding has proven to have numerous health benefits for both mother and child.,done,,
,,,,
"Our enemies continue to test us because they no longer fear us, Mr.  Speaker.","Our enemies continue to test us because they no longer fear us, Mr. Speaker.",done,,
,,,,
"Let there be no doubt that the Department of the Interior can do a  better job of both hiring and contracting in these areas, but this  debate today isn't the most appropriate place for us to consider these  particular changes.","Let there be no doubt that the Department of the Interior can do a better job of both hiring and contracting in these areas, but this debate today isn't the most appropriate place for us to consider these particular changes.",done,,
,,,,
"Sadly, last Friday evening, on November 13, 2015, France was  similarly subjected to multiple acts of terror in Paris.","Sadly, last Friday evening, on November 13, 2015, France was similarly subjected to multiple acts of terror in Paris.",done,,
,,,,
"I  am pleased to see there is funding to hire more full-time employees,  but we still need more workers in order for the VA to answer faster.","I am pleased to see there is funding to hire more full-time employees, but we still need more workers in order for the VA to answer faster.",done,,
,,,,
"If anything, we should raise thebar for  Trump, not make exceptions just because we are glad he didn't go with  someone like Flynn.","If anything, we should raise the bar for Trump, not make exceptions just because we are glad he didn't go with someone like Flynn.",done,,
,,,,
"This not only puts  businesses in serious and unnecessary risk, but also workers who may  lose their jobs, as well as their health care.","This not only puts businesses in serious and unnecessary risk but also workers, who may lose their jobs as well as their health care.",done,,
,,,,
``You're in  safe hands when you give your family's prosperity over to this financial  institution.'',You're in safe hands when you give your family's prosperity over to this financial institution.,review,a little awkward,
,,,,
"So let's finish our job, Mr. Speaker, and commit to  making this the year we make permanent the Federal conservation  easement tax incentive.","So let's finish our job, Mr. Speaker, and commit to making this the year we make permanent the Federal conservation easement tax incentive.",done,,
,,,,
" ``Judgment in cases of impeachment shall not extend  further than to removal from office, and disqualification to hold and  enjoy any office of honor, trust or profit under the United States: but  the party convicted shall nevertheless be liable and subject to  indictment, trial, judgment and punishment, according to law.''","Judgment in cases of impeachment shall not extend further than to removal from office, and disqualification to hold and enjoy any office of honor, trust or profit under the United States. But the party convicted shall nevertheless be liable and subject to indictment, trial, judgment and punishment, according to law.",done,,
,,,,
"While we  will continue to maintain our frontline priorities as best we can, no  amount of planning can mitigate the negative effects of sequestration.","While we will continue to maintain our front line priorities as best we can, no amount of planning can mitigate the negative effects of sequestration.",done,,
,,,,
"This is important because without accurate  feedback, CMS could inadvertently move forward with a proposed change  to the Medicare Advantage program that might negatively impact those  seniors--again, like my mom and dad--who depend on these plans for  access to their providers, to their doctors.","This is important because without accurate feedback, CMS could inadvertently move forward with a proposed change to the Medicare Advantage program that might negatively impact those seniors--again, like my mom and dad--who depend on these plans for access to their providers, to their doctors.",done,,
,,,,
"Secondly, the bill seeks to enhance cooperation among financial  institutions, also regulatory authorities and law enforcement, by  expanding the range of counter-illicit financing information shared  with financial institutions for the sole purpose of allowing such  financial institutions to identify and report specified illicit  activity.","Secondly, the bill seeks to enhance cooperation among financial institutions, also regulatory authorities and law enforcement, by expanding the range of counter-illicit financing information shared with financial institutions for the sole purpose of allowing such financial institutions to identify and report specified illicit activity.",done,,
,,,,
"They want to pretend all day long that the  discredited ``tax-cuts = revenue growth'' model will do wonders for  America, while denying the fact that the economically proven model of  ``investment = growth'' will bring the much needed prosperity and  equality that our citizens desperately want and need.","They want to pretend all day long that the discredited ""tax-cuts = revenue growth'' model will do wonders for America, while denying the fact that the economically proven model of ""investment = growth'' will bring the much needed prosperity and equality that our citizens desperately want and need.",done,,
,,,,
These people in these local communities have a basic right to  basic healthcare.,These people in these local communities have a basic right to basic healthcare.,done,,
,,,,
" Mr. Chairman, again, I would say that, based on the  direction from the CNO and his directives of how the Navy is looking to  reorganize itself to make sure that it has the ability to maintain  maritime superiority--this came out just 5 months ago--to me, it makes  perfect sense for us to be able to do that.","Mr. Chairman, again, I would say that, based on the direction from the CNO and his directives of how the Navy is looking to reorganize itself to make sure that it has the ability to maintain maritime superiority--this came out just 5 months ago--to me, it makes perfect sense for us to be able to do that.",done,,
,,,,
"A refusal to support this amendment simply shows that we will  continue to go on the same old tired path of watching the best workers  and the best entrepreneurs in the world be cheated out of their pursuit  of wealth, and us all be cheated out of a healthier, more vibrant  economy.","A refusal to support this amendment simply shows that we will continue to go on the same old tired path of watching the best workers and the best entrepreneurs in the world be cheated out of their pursuit of wealth, and us all be cheated out of a healthier, more vibrant economy.",done,,
,,,,
"Of the 92 victims of that assault on that day, 23 were  children.","Of the 92 victims of that assault on that day, 23 were children.",done,,
,,,,
"All of this comes just days after President Obama has said, yet  again, we do not have a complete strategy to defeat ISIS in Iraq or  Syria.","All of this comes just days after President Obama has said, yet again, we do not have a complete strategy to defeat ISIS in Iraq or Syria.",done,,
,,,,
"Protecting the nation's border--land, air, and sea--from illegal  entry of people, weapons, drugs, and contraband is vital to our  homeland security, as well as economic prosperity.","Protecting the nation's border--land, air, and sea--from illegal entry of people, weapons, drugs, and contraband is vital to our homeland security, as well as economic prosperity.",done,,
,,,,
A GAO study will allow an objective assessment of whether the rarely  changed monetary reserves imposed on depository institutions and  consumers are necessary in order for the Federal Reserve to implement  monetary policy in the 21st century.,A GAO study will allow an objective assessment of whether the rarely changed monetary reserves imposed on depository institutions and consumers are necessary in order for the Federal Reserve to implement monetary policy in the 21st century.,done,,
,,,,
"While we  will continue to preserve our frontline priorities as best we can, no  amount of planning can mitigate the negative effects of sequestration.","While we will continue to preserve our frontline priorities as best we can, no amount of planning can mitigate the negative effects of sequestration.",done,,
,,,,
"The Senate voted for it 98-0, and the House voted 390-33 in favor of  the Voting Rights Act, which lets us know that this is a fundamental  right that most Americans believe.","The Senate voted for it 98-0, and the House voted 390-33 in favor of the Voting Rights Act, which lets us know that this is a fundamental right that most Americans believe.",done,,
,,,,
"We are keen on making that work, and the specifics of what the pay-for  will be are currently under discussion.","We are keen on making that work, and the specifics of what the pay-for will be are currently under discussion.",done,,
,,,,
We can't contribute in.,We can't contribute in.,review,"""we can't contribute"" would be correct grammar -- this is a give swap issue",1
,,,,
There are now  widespread fears that opposition to the extension of Kabila's rule will  spark demonstrations that will be met by violence by a government  determined to maintain its hold on power.,There are now widespread fears that opposition to the extension of Kabila's rule will spark demonstrations that will be met by violence by a government determined to maintain its hold on power.,done,,
,,,,
"The number one part for the Republican plan is transfer trillions of  dollars of wealth from middle class America to the wealthiest in the  country who don't need it; number two, explode the deficit, because  there is no way to pay for this unless you cut a bunch of stuff; and  then, number three, cut more.","The number one part for the Republican plan is transfer trillions of dollars of wealth from middle class America to the wealthiest in the country who don't need it; number two, explode the deficit, because there is no way to pay for this unless you cut a bunch of stuff; and then, number three, cut more.",done,,
,,,,
"There are far too many illegal laws, the  number of which we don't know exactly, but which allow a violation of a  regulation to be a crime, which allows the full power of the Federal  Government to go after individuals.","There are far too many illegal laws, the number of which we don't know exactly, but which allow a violation of a regulation to be a crime, which allows the full power of the Federal Government to go after individuals.",done,,
,,,,
"I always say: Show me your values, show me your budget.","I always say: ""Show me your values, show me your budget.""",done,,
,,,,
"Children with lead poisoning are 7 times more likely to drop out of  school, more likely to engage in risk-taking behaviors, and more likely  to engage in criminal activity.","Children with lead poisoning are seven times more likely to drop out of school, more likely to engage in risk-taking behaviors, and more likely to engage in criminal activity.",done,,
,,,,
"On Tuesday, Kansans from all across the Sunflower  State wished him a happy 91st birthday.","On Tuesday, Kansans from all across the Sunflower State wished him a happy 91st birthday.",done,,
,,,,
I don't fear the policies.,I don't fear the policies.,done,,
,,,,
"Last but not least, H.R. 4723 fulfills our responsibility as stewards of the  tax dollars of hardworking Americans.","Last but not least, H.R. 4723 fulfills our responsibility as stewards of the tax dollars of hardworking Americans.",done,,
,,,,
"Finally at 22 weeks,  Michelle and her mother secured an abortion with a provider, a doctor who  could assume the costs.","Finally at 22 weeks, Michelle and her mother secured an abortion with a provider, a doctor who could assume the costs.",done,,
,,,,
" I thank the gentleman for yielding to me,  and I ask if he would let me end through.","I thank the gentleman for yielding to me, and I ask if he would let me end through.",done,,
,,,,
And it obviously  was a potentially more dangerous enemy if it had weapons of mass  destruction that could have been shared with jihadists.,And it obviously was a potentially more dangerous enemy if it had weapons of mass destruction that could have been shared with jihadists.,done,,
,,,,
"The SEC's mission is to protect investors, maintain efficient  markets, and facilitate capital formation.","The SEC's mission is to protect investors, maintain efficient markets, and facilitate capital formation.",done,,
,,,,
"It doesn't begin here, it begins at  home, but it is a sincere responsibility, and it is one that we want to  do better at every day.","It doesn't begin here, it begins at home, but it is a sincere responsibility, and it is one that we want to do better at every day.",done,,
,,,,
I would be glad to  work with the gentleman on providing funding for this important  program.,I would be glad to work with the gentleman on providing funding for this important program.,done,,
,,,,
"Instead of a land buy, we must finish the Comprehensive Everglades  Restoration Plan.","Instead of a land buy, we must finish the Comprehensive Everglades Restoration Plan.",done,,
,,,,
"My father studied theology at Morris in the early 1940s for 3  years, but was not allowed to finish his studies because he had not  graduated high school.","My father studied theology at Morris in the early 1940s for 3 years, but was not allowed to finish his studies because he had not graduated high school.",done,,
,,,,
"It is going to  somewhere, to somebody in Nigeria, and the people of Nigeria need to  begin to enjoy some of the wealth with which their land has been  blessed, and I hope we see that in our lifetime as well.","It is going to somewhere, to somebody in Nigeria, and the people of Nigeria need to begin to enjoy some of the wealth with which their land has been blessed, and I hope we see that in our lifetime as well.",done,,
,,,,
"As I think about Memorial Day, I wish we could, daily, see every  heroic name across our barriers here and recall the harrowing stories of  the Second World War and the over 400,000 U.S. Army, Air Force, Navy,  Marine, Coastguardsman, and each and every Merchant Marine who fought  and died in Europe and in the Pacific and in Africa for the freedom of  the entire world from being ruled by an evil and intolerant empire.","As I think about Memorial Day, I wish we could, daily, see every heroic name across our barriers here and recall the harrowing stories of the Second World War and the over 400,000 U.S. Army, Air Force, Navy, Marine, Coastguardsman, and each and every Merchant Marine who fought and died in Europe and in the Pacific and in Africa for the freedom of the entire world from being ruled by an evil and intolerant empire.",done,,
,,,,
"This American success story employs more than 400,000 workers, pays  salaries 40 percent higher than the average national wage, is one of  our country's few industries that actually exports more than it  imports; and it is an industry that is fueled by innovation and is made  up of mostly small businesses.","This American success story employs more than 400,000 workers, pays salaries 40 percent higher than the average national wage, is one of our country's few industries that actually exports more than it imports; and it is an industry that is fueled by innovation and is made up of mostly small businesses.",done,,
,,,,
the people of the Northern Mariana Islands  know the terror when a typhoon strikes.,The people of the Northern Mariana Islands know the terror when a typhoon strikes.,review,terror/fear,
,,,,
The addition of this language is important because we do not want to  create the impression that Congress principles expediency and cost-cutting  over fairness.,The addition of this language is important because we do not want to create the impression that Congress principles expediency and cost-cutting over fairness.,done,,
,,,,
"Such widespread  support sends a strong message to America's manufacturers, businesses,  and employees that Democrats are united in preserving an institution that  for decades has helped this Nation create jobs and grow the economy;  and it makes clear that if those supportive Republicans were to join  us, this Congress could pass an extension of the Export-Import Bank's  charter today.","Such widespread support sends a strong message to America's manufacturers, businesses, and employees, that Democrats are united in preserving an institution that for decades has helped this Nation create jobs and grow the economy and it makes clear that if those supportive Republicans were to join us, this Congress could pass an extension of the Export-Import Bank's charter today.",done,,
,,,,
"What you don't  know about a treatable condition that can harm you, potentially kill you,  what you don't know about it can hurt you.",What you don't know about a treatable condition that can harm you--potentially kill you--what you don't know about it can hurt you.,done,,
,,,,
``You're in  safe hands when you give your family's wealth over to this financial  institution.'',You're in safe hands when you give your family's wealth over to this financial institution.,done,,
,,,,
And then we asked the FCC to  implement the kinds of reforms that we implemented in this very House  to avoid abuses that had taken place in the past.,And then we asked the FCC to implement the kinds of reforms that we implemented in this very House to avoid abuses that had taken place in the past.,done,,
,,,,
We must ensure that the  passage of time does not allow us to forget that the Cyprus issue is  the result of an illegal invasion and ongoing occupation.,We must ensure that the passage of time does not allow us to forget that the Cyprus issue is the result of an illegal invasion and ongoing occupation.,done,,
,,,,
But this rule goes so against the principles of how we are supposed  to debate the Armed Services bill--and I've been privileged to be on  that committee for 16 years--that I have to speak against this rule.,But this rule goes so against the principles of how we are supposed to debate the Armed Services bill--and I've been privileged to be on that committee for 16 years--that I have to speak against this rule.,done,,
,,,,
The people before me have talked so eloquently about our  responsibility as Members of Congress to defend and protect our Nation.,The people before me have talked so eloquently about our responsibility as Members of Congress to defend and protect our Nation.,done,,
,,,,
I just want to say to any small business who worries about fair  scheduling: We want to be in discussion with you.,I just want to say to any small business who worries about fair scheduling: We want to be in discussion with you.,done,,
,,,,
It is a fundamental principle.,It is a fundamental principle.,done,,
,,,,
"And so with that act having  passed and controls put on excessive speculation in the financial  services industry, we have seen economic growth.","And so with that act having passed and controls put on excessive speculation in the financial services industry, we have seen economic growth.",done,,
,,,,
"In the evacuation process, he and his wounded leader  came under intense enemy attack.","In the evacuation process, he and his wounded leader came under intense enemy attack.",done,,
,,,,
A study published in the proceedings of the National Academy of  Sciences combined agricultural and water models to profit a more  realistic estimate of the impacts of climate change on food production.,A study published in the proceedings of the National Academy of Sciences combined agricultural and water models to profit a more realistic estimate of the impacts of climate change on food production.,done,,
,,,,
What they really mean when they talk  about ``comprehensive immigration reform''--what they really mean--is  ``amnesty.'',"What they really mean when they talk about  ""comprehensive immigration reform''--what they really mean--is ""amnesty.''",done,,
,,,,
"While Congress has a responsibility to ensure that the reforms  enacted under Dodd-Frank are clear and effective--and many may still  require clarification from Congress--the bill under consideration  today, H.R. 1526, is premature and potentially damaging.","While Congress has a responsibility to ensure that the reforms enacted under Dodd-Frank are clear and effective--and many may still require clarification from Congress--the bill under consideration today, H.R. 1526, is premature and potentially damaging.",done,,
,,,,
The requirement that the ultimate parent of a treasury       affiliate identify all wholly- and majority-owned affiliates       and ensure a majority qualify for the finish-user exception.,The requirement that the ultimate parent of a treasury affiliate identify all wholly and majority-owned affiliates and ensure a majority qualify for the finish-user exception.,review,finish/end,
,,,,
"In fact,  numerous studies have underscored that using some kinds of forest  biomass, particularly slow-growing trees, can actually increase  atmospheric carbon for many decades.","In fact, numerous studies have underscored that using some kinds of forest biomass, particularly slow-growing trees, can actually increase atmospheric carbon for many decades.",done,,
,,,,
I believe as  soon as we realize Latinos yearn to share the same American values and  aspirations as so many descendants of other immigrant groups--of  Italian Americans and Irish Americans and German Americans and Asian  Americans and all Americans--certainly America will thrive.,I believe as soon as we realize Latinos yearn to share the same American values and aspirations as so many descendants of other immigrant groups--of Italian Americans and Irish Americans and German Americans and Asian Americans and all Americans--certainly America will thrive.,done,,
,,,,
" our guest chaplain today has been the  pastor of Bible Baptist Church in Wichita Falls, Texas, for the past 20  years; but his ministry and passion for spreading the word of God has  never been confined to the barriers of any church building.","Our guest chaplain today has been the pastor of Bible Baptist Church in Wichita Falls, Texas, for the past 20 years, but his ministry and passion for spreading the word of God has never been confined to the barriers of any church building.",done,,
,,,,
"Surely, Congress can muster the courage  to do our constitutional responsibility and debate and vote on a new AUMF within  8 months if that is our decision.","Surely, Congress can muster the courage to do our constitutional responsibility and debate and vote on a new AUMF within 8 months; if that is our decision.",done,,
,,,,
"The land is the county's, no exchange of profit whatsoever.","The land is the county's, no exchange of profit whatsoever.",done,,
,,,,
"It is also important to note that  participation in this day is purely voluntary by these businesses, with  no financial solicitation or donations before, during, or after the  event.","It is also important to note that participation in this day is purely voluntary by these businesses, with no financial solicitation or donations before, during, or after the event.",done,,
,,,,
"For these reasons, I must oppose the amendment; although, I would say  to the gentleman that, if he would like to withdraw the amendment, as  we move to conference with the Senate, I would be happy to undertake  his concerns and see if there was some other way to work to incorporate  them into the bill that we ultimately send to the President's desk.","For these reasons, I must oppose the amendment. Although, I would say to the gentleman that, if he would like to withdraw the amendment, as we move to conference with the Senate, I would be happy to undertake his concerns and see if there was some other way to work to incorporate them into the bill that we ultimately send to the President's desk.",done,,
,,,,
"I really appreciate the gentleman's attention to this issue and will  continue to work with HUD to address any excessive, unwarranted  overpayments for assistance to our most vulnerable citizens.","I really appreciate the gentleman's attention to this issue and will continue to work with HUD to address any excessive, unwarranted overpayments for assistance to our most vulnerable citizens.",done,,
,,,,
"All of that outrageous red tape places a huge burden on small- and  medium-sized businesses that create jobs in New Jersey, the State I  represent, and across the Nation.","All of that outrageous red tape places a huge burden on small and medium-sized businesses that create jobs in New Jersey, the State I represent, and across the Nation.",done,,
,,,,
"Once again,  I apologize, Mr. Chairman, because this one is a little fundamental.","Once again, I apologize, Mr. Chairman, because this one is a little fundamental.",done,,
,,,,
"If a contractor fails to maintain high  standards of integrity and business ethics, agencies already have the  authority to suspend or debar the employer from government contracting.","If a contractor fails to maintain high standards of integrity and business ethics, agencies already have the authority to suspend or debar the employer from government contracting.",done,,
,,,,
"We achieved budget surpluses  as the result of a concerted, bipartisan effort to balance the budget  through a comprehensive approach.","We achieved budget surpluses as the result of a concerted, bipartisan effort to balance the budget through a comprehensive approach.",done,,
,,,,
"I fear that as the government continues to grow and Obamacare is  fully implemented, the consequences of transferring so much power,  national treasure, and control to the Federal Government will be felt  widely, personally, and painfully.","I fear that as the government continues to grow and Obamacare is fully implemented, the consequences of transferring so much power, national treasure, and control to the Federal Government will be felt widely, personally, and painfully.",done,,
,,,,
" Thank you so much, Mr. Blumenauer, for leading this  conversation about such an important topic."," Thank you so much, Mr. Blumenauer, for leading this conversation about such an important topic.",done,,
,,,,
The next morning his  mom and I found him dead in his room.,"The next morning, his mom and I found him dead in his room.",done,,
,,,,
It is disturbing that we happen to be debating whether a state  sponsor of fear should have a glide path to nuclear weapons at this  time.,It is disturbing that we happen to be debating whether a state sponsor of fear should have a glide path to nuclear weapons at this time.,review,,
,,,,
"Because of the Affordable Care Act, the uninsured rate in  Texas has fallen by 28 percent and still has the largest number of  uninsured Americans, allowing 1.7 million Texans to profit coverage.","Because of the Affordable Care Act, the uninsured rate in Texas has fallen by 28 percent and still has the largest number of uninsured Americans, allowing 1.7 million Texans to profit coverage.",done,,
,,,,
"Mr. Speaker, I rise to commend the  mayor of the city of Chicago for initiation of a new set of policies  designed to help facilitate the reentry of individuals with illegal  records back into normal and productive life.","Mr. Speaker, I rise to commend the mayor of the city of Chicago for initiation of a new set of policies designed to help facilitate the re-entry of individuals with illegal records back into normal and productive life.",done,,
,,,,
"Frances Willard earned her place in history by pioneering the  temperance movement, breaking barriers in the field of education and  leading the movement to obtain women's right to vote.","Frances Willard earned her place in history by pioneering the temperance movement, breaking barriers in the field of education and leading the movement to obtain women's right to vote.",done,,
,,,,
